"事業活動 コード","事業活動 補助コード","事業活動","地域 コード","地域 補助コード","地域","時間軸 コード","時間軸 補助コード","時間軸","産業中分類 コード","産業中分類 補助コード","産業中分類","/表章項目","事業所数【事業所】","売上（収入）金額【百万円】"
"13","","金融、保険事業（J）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"13","","金融、保険事業（J）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","8"
"13","","金融、保険事業（J）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","2,676"
"14","","宿泊事業（M1）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","0"
"14","","宿泊事業（M1）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"14","","宿泊事業（M1）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","3"
"14","","宿泊事業（M1）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","99"
"15","","生活関連サービス、娯楽事業（N）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","0"
"15","","生活関連サービス、娯楽事業（N）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"15","","生活関連サービス、娯楽事業（N）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","50"
"15","","生活関連サービス、娯楽事業（N）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","1,217"
"16","","教育、学習支援事業（O）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","-"
"16","","教育、学習支援事業（O）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"16","","教育、学習支援事業（O）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","12"
"16","","教育、学習支援事業（O）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","884"
"17","","情報通信事業（G）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","62"
"17","","情報通信事業（G）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"17","","情報通信事業（G）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","239"
"17","","情報通信事業（G）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","5,312"
"18","","学術研究、専門・技術サービス事業（L）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","-"
"18","","学術研究、専門・技術サービス事業（L）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"18","","学術研究、専門・技術サービス事業（L）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","341"
"18","","学術研究、専門・技術サービス事業（L）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","961"
"19","","その他のサービス事業（R）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","441"
"19","","その他のサービス事業（R）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"19","","その他のサービス事業（R）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","8,269"
"19","","その他のサービス事業（R）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","62,323"
