統計名：,令和３年経済センサス‐活動調査 事業所に関する集計 産業横断的集計 売上（収入）金額等,,,,,,,,,,,,,,,,,,,,,,,,,
表番号：,4月1日,,,,,,,,,,,,,,,,,,,,,,,,,
表題：,産業(大分類)、単独・本所・支所別民営事業所数、従業者数及び売上（収入）金額（外国の会社及び法人でない団体を除く）－全国、都道府県、市区町村,,,,,,,,,,,,,,,,,,,,,,,,,
実施年月：,2021年,6月,,,,,,,,,,,,,,,,,,,,,,,,
市区町村時点（年月日）：,-,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
*,項目名短縮,,,,,,,,,,,,,,,,,,,,,,,,,
***,数字が得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,
-,該当数字がないもの 及び 分母が０のため計算できないもの,,,,,,,,,,,,,,,,,,,,,,,,,
生産,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
畳,単位,,,,,,,,,,,,,,,,,,,,,,,,,
着,単位,,,,,,,,,,,,,,,,,,,,,,,,,
石油,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
窯業,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
紙パ,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
総ｔ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
繊維,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
足,単位,,,,,,,,,,,,,,,,,,,,,,,,,
輸送,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
連,単位,,,,,,,,,,,,,,,,,,,,,,,,,
金属,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
鉄鋼,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
隻,単位,,,,,,,,,,,,,,,,,,,,,,,,,
電子,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
電気,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
非鉄,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
食料,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
飲料,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
２ｍｍ換算箱,単位,,,,,,,,,,,,,,,,,,,,,,,,,
Ｋｍ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｇ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｋｇ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｋｌ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｍ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｍ２,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｍ３,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ｔ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
･･･,調査していないもの,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,/表章項目 コード,102-2021,102-2021,102-2021,113-2021,113-2021,113-2021,155-2021,155-2021,155-2021,,,,,,,,,,,
,,,,,,/表章項目 補助コード,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
,,,,,,/表章項目,事業所数【事業所】,事業所数【事業所】,事業所数【事業所】,従業者数_男女計【人】,従業者数_男女計【人】,従業者数_男女計【人】,売上（収入）金額【百万円】,売上（収入）金額【百万円】,売上（収入）金額【百万円】,,,,,,,,,,,
,,,,,,/地域 コード,38201,38202,38206,38201,38202,38206,38201,38202,38206,,,,,,,,,,,
,,,,,,/地域 補助コード,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
時間軸 コード,時間軸 補助コード,時間軸,産業大分類 コード,産業大分類 補助コード,産業大分類,/地域,松山市,今治市,西条市,松山市,今治市,西条市,松山市,今治市,西条市,,,,,,,,,,,
2021000000,,2021年,AR,,全産業（S_公務を除く）,,"19,387","7,321","4,296","210,861","64,976","40,409",･･･,･･･,･･･,,,,,,,都道府県,,,38,
2021000000,,2021年,AB,,農林漁業,,62,52,84,536,595,896,"3,762","4,964","6,970",,,,,,,,,,愛　媛,
2021000000,,2021年,CR,,非農林漁業（S_公務を除く）,,"19,325","7,269","4,212","210,325","64,381","39,513",･･･,･･･,･･･,,,給与（愛媛）,総給与 松山,総給与 今治,,Ｃ　鉱業，採石業，砂利採取業,所定内,給与額,224.3,
2021000000,,2021年,C,,鉱業，採石業，砂利採取業,,1,22,-,8,114,-,X,X,-,,C,3291.5,26332,375231,,,年　間,賞与額,599.9,3291.5
